Timestamp,CI,V_TRAIN (Km/h),NID_BG,M_MODE,DL Rxqual,UL Rxqual,D_LRBG,HO_state,CES,EStop
2025-10-01 16:46:57.280,009,290.0,1366,Full Supervision,,,47.0,0,0,0
2025-10-01 16:46:57.545,009,,1366,,0.0,0.0,,0,0,0
2025-10-01 16:46:57.664,009,,1366,,,,47.0,0,0,0
2025-10-01 16:46:57.684,009,,1366,,,,47.0,0,0,0
2025-10-01 16:46:57.684,009,,1366,,,,47.0,0,0,0
2025-10-01 16:46:57.920,009,,1366,,,,47.0,0,0,0
2025-10-01 16:46:58.025,009,,1366,,0.0,0.0,,0,0,0
2025-10-01 16:46:58.048,009,290.0,1366,Full Supervision,,,108.0,0,0,0
2025-10-01 16:46:58.304,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:58.324,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:58.505,009,,1366,,0.0,0.0,,0,0,0
2025-10-01 16:46:58.580,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:58.708,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:58.836,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:58.836,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:58.964,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:58.985,009,,1366,,1.0,0.0,,0,0,0
2025-10-01 16:46:59.092,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:59.092,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:59.200,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:59.456,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:59.465,009,,1366,,0.0,0.0,,0,0,0
2025-10-01 16:46:59.584,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:59.840,009,,1366,,,,108.0,0,0,0
2025-10-01 16:46:59.945,009,,1366,,2.0,0.0,,0,0,0
2025-10-01 16:47:00.224,009,,1366,,,,108.0,0,0,0
2025-10-01 16:47:00.224,009,,1366,,,,108.0,0,0,0
2025-10-01 16:47:00.244,009,,1366,,,,108.0,0,0,0
2025-10-01 16:47:00.425,009,,1366,,3.0,0.0,,0,0,0
2025-10-01 16:47:00.628,009,,1366,,,,108.0,0,0,0
2025-10-01 16:47:00.905,009,,1366,,2.0,1.0,,0,0,0
2025-10-01 16:47:01.385,009,,1366,,0.0,1.0,,0,0,0
2025-10-01 16:47:01.504,009,,1366,,,,108.0,0,0,0
2025-10-01 16:47:01.865,009,,1366,,0.0,2.0,,0,0,0
2025-10-01 16:47:02.164,009,,1366,,,,108.0,0,0,0
2025-10-01 16:47:02.164,009,,1366,,,,108.0,0,0,0
2025-10-01 16:47:02.345,009,,1366,,0.0,2.0,,0,0,0
2025-10-01 16:47:02.825,009,,1366,,0.0,0.0,,0,0,0
